file_path,test_id,issue_severity,issue_confidence,col_offset,end_col_offset,line_range,commit,commit_number,fix_commit,fix_commit_number
numpy/_core/tests/test_multiarray.py,B101,LOW,HIGH,4,40,1,b3721c5b4c1c7a57cd3d2bcd6bcbbc45368b9b13,42,fa61598cacfda8015f9f36788c3011d9498e3e4a,72
numpy/_core/tests/test_multiarray.py,B101,LOW,HIGH,4,39,1,b3721c5b4c1c7a57cd3d2bcd6bcbbc45368b9b13,42,fa61598cacfda8015f9f36788c3011d9498e3e4a,72
numpy/_core/tests/test_umath.py,B101,LOW,HIGH,12,64,1,5c9179bb5598b0b0f0693b3b2c8d85f6305c037d,89,2abe1785ed577d69fb8b945a8e6b94ff1619c5f0,90
numpy/f2py/tests/test_f2py2e.py,B404,LOW,HIGH,0,43,1,5ef245ac8334ccea93f45bb3059f3042b64b8bd1,88,3f3e6f2baabdcb59f6a3eaeb40ceaec2621895a9,91
numpy/_core/tests/test_multiarray.py,B101,LOW,HIGH,4,49,1,fa61598cacfda8015f9f36788c3011d9498e3e4a,72,563ec5b0da35da8d33f31fb75e564b17b402e26d,92
numpy/_core/tests/test_multiarray.py,B101,LOW,HIGH,4,50,1,fa61598cacfda8015f9f36788c3011d9498e3e4a,72,563ec5b0da35da8d33f31fb75e564b17b402e26d,92
numpy/_core/tests/test_scalarmath.py,B101,LOW,HIGH,8,36,1,864b6491f35850516f74d523ae2877e795befdc4,71,52bf3ca1f13d26c957232604bd06852b90c5be9d,93
numpy/_core/tests/test_cython.py,B101,LOW,HIGH,4,5,6,5ef245ac8334ccea93f45bb3059f3042b64b8bd1,88,486ad9b61fea0ccbb6f5c8a2659405db75185661,109
numpy/random/tests/test_extending.py,B603,LOW,HIGH,8,31,3,c0e9b5340545698706bc503706d5db045fc367c6,87,f927197172bb4bd535ed41465b4f5b2b32b4c3c8,196
numpy/random/tests/test_extending.py,B607,LOW,HIGH,8,31,5,c0e9b5340545698706bc503706d5db045fc367c6,87,f927197172bb4bd535ed41465b4f5b2b32b4c3c8,196
numpy/random/tests/test_extending.py,B603,LOW,HIGH,8,31,5,c0e9b5340545698706bc503706d5db045fc367c6,87,f927197172bb4bd535ed41465b4f5b2b32b4c3c8,196
numpy/random/tests/test_extending.py,B607,LOW,HIGH,8,31,3,c0e9b5340545698706bc503706d5db045fc367c6,87,f927197172bb4bd535ed41465b4f5b2b32b4c3c8,196
numpy/_core/tests/test_limited_api.py,B603,LOW,HIGH,8,31,3,c0e9b5340545698706bc503706d5db045fc367c6,87,f927197172bb4bd535ed41465b4f5b2b32b4c3c8,196
numpy/_core/tests/test_limited_api.py,B607,LOW,HIGH,8,31,3,c0e9b5340545698706bc503706d5db045fc367c6,87,f927197172bb4bd535ed41465b4f5b2b32b4c3c8,196
numpy/_core/tests/test_limited_api.py,B603,LOW,HIGH,8,31,6,c0e9b5340545698706bc503706d5db045fc367c6,87,f927197172bb4bd535ed41465b4f5b2b32b4c3c8,196
numpy/_core/tests/test_limited_api.py,B607,LOW,HIGH,8,31,6,c0e9b5340545698706bc503706d5db045fc367c6,87,f927197172bb4bd535ed41465b4f5b2b32b4c3c8,196
